Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-kerndatensatzmodul-kardiologie.json	34812	-	0	0	0	0	0	0	14	48	0	0	0	0	0	0	0	1	0	0	0	196	459	0	0	0	0	5	0	3
fsh-generated/resources/CodeSystem-mii-cs-kardio-acribis-questionnaire-answer.json	1702	3	0	0	2	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	29	87	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-atherosklerotisches-ereignis.json	1018	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	58	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-lebensmittelpunkt.json	1063	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	52	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-modifizierte-rankin-skala.json	2602	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	32	57	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-supplement-snomedct.json	1585	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	21	48	0	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-kardio-diagnose-myokardinfarkt.json	2518	2	0	0	0	0	0	0	0	855	0	0	0	0	0	0	0	1	0	0	0	25	18	0	0	0	1	0	0	0
fsh-generated/resources/Condition-mii-exa-kardio-embolischer-gefaessverschluss.json	2401	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-kardio-hoehergradiges-vitium.json	2934	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	68	10	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-device-icd.json	604	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-ekg-geraet-mortara.json	874	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-ekg-kanal-i.json	1109	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0	0	1
fsh-generated/resources/Device-mii-exa-kardio-ekg-kanal-ii.json	1111	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0
